,Final cost,Baseline -6 months,After 6 month price,1 yr,2,3,4,5,,,,,,,,
,US,100.00,80,180,340,500,660,820,,,,,,,,
,Mex,84.4,62,146.4,270.4,394.4,518.4,642.4,,,,,,,,
,China,77.1,59,136.1,254.1,372.1,490.1,608.1,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Base Case,,,,Base Case,Bull Case,,Bear Case,,,,,,
,,,baseline,Bull Case,difference,Bear Case,,high,,low,,,,,,
,Initial 6 months with yield,USA,100.00,100.00,,100.00,,,,,,,,,,
,,Mexico,84.39,84.39,,84.39,,,,,,,,,,
,,China,77.11,77.11,,77.11,,,,,,,,,,
,1year,USA,182.21,179.91,6.77,186.67,82.2,79.9,,86.7,,,,,,
,,Mexico,149.28,147.72,4.06,151.78,64.9,63.3,,67.4,,,,,,
,,China,137.06,135.84,2.28,138.11,60.0,58.7,,61.0,,,,,,
,3year,USA,511.05,499.53,33.84,533.37,82.2,79.9,,86.7,,,,,,
,,Mexico,408.87,401.04,20.30,421.34,64.9,63.3,,67.4,,,,,,
,,China,376.87,370.76,11.38,382.14,60.0,58.7,,61.0,,,,,,
,,,,,,,,,,,,,,,,
,World Development Indicators | DataBank,,,,,,,,,,,,,,,
,Inflation,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,interquartile,average,quartile lower
,China,1.9,1.4,2.0,1.6,2.1,2.9,2.4,1.0,2.0,0.2,0.2,ChinaInflation,2.9,1.6,0.2
,USA,1.6,0.1,1.3,2.1,2.4,1.8,1.2,4.7,8.0,4.1,2.9,USAInflation,8.0,2.8,0.1
,Mexico,4.0,2.7,2.8,6.0,4.9,3.6,3.4,5.7,7.9,5.5,4.7,MexicoInflation,7.9,4.7,2.7
,,,,,,,,,,,,,,,,
,Exchange rate,2014.0,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,
,USA,,,,,,,,,,,,,,,
Mexican Pesos to U.S. Dollar Spot Exchange Rate (DEXMXUS) | FRED | St. Louis Fed,Mexico,13.3022,15.8735,18.6674,18.8841,19.2179,19.2469,21.5462,20.2844,20.1208,17.7334,18.3062,MexicoExchange rate,21.5,18.5,13.3
Chinese Yuan Renminbi to U.S. Dollar Spot Exchange Rate (AEXCHUS) | FRED | St. Louis Fed,China,6.1620,6.2827,6.6400,6.7569,6.6090,6.9081,6.9042,6.4508,6.7290,7.0809,7.1957,ChinaExchange rate,7.2,6.7,6.2
,,,,,,,,,,,,,,,,
,Labor Productivity,,,,,,,,,,,,,,,
,US,11592885.85,,,,,,,,,,,,,,
,Mex,7925796.639,,,,,,,,,,,,,,
,China,7065825.613,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,baseline,Bull Case,difference,,,,,,,,,,,
,Initial 6 months with yield,USA,100.00,,,,,,,,,,,,,
,,Mexico,84.39,,,,,,,,,,,,,
,,China,77.11,,,,,,,,,,,,,
,1year,USA,91.10,89.95,3.38,93.34,,,,,,,,,,
,,Mexico,74.64,73.86,2.03,75.89,,,,,,,,,,
,,China,68.53,67.92,1.14,69.06,,,,,,,,,,
,3year,USA,85.17,83.25,5.64,88.89,,,,,,,,,,
,,Mexico,68.14,66.84,3.38,70.22,,,,,,,,,,
,,China,62.81,61.79,1.90,63.69,,,,,,,,,,
,2year,,,,,,,,,,,,,,,
